Abaeis nicippe,Sleepy orange butterfly
Centaurea calcitrapa,Purple starthistle
Centaurea cyanus,Garden cornflower
Centaurea nigra,Black knapweed
Centaurea stoebe,Spotted knapweed
Centaurium erythraea,European centaury
Centaurium pulchellum,Lesser centaury
Centranthus ruber,Red valerian
Centroberyx druzhinini,Flathead alfonsino
Centrocercus urophasianus,Sage grouse
Centrochelys sulcata,African spurred tortoise
Centrolobium microchaete,Canarywood tree
Centromochlus existimatus,Amazonian driftwood catfish
Centropomus armatus,Armed snook
Centropomus ensiferus,Swordspine snook
Centropomus medius,Blackfin snook
Centropristis striata,Black sea bass
Centropus cupreicaudus,Coppery-tailed coucal
Centropus sinensis,Greater coucal
Centropus viridis,Philippine coucal
Centropyge aurantia,Golden angelfish
Centropyge bicolor,Bicolor angelfish
Centropyge bispinosa,Twospined angelfish
Centropyge eibli,Blacktail angelfish
Centropyge ferrugata,Rusty angelfish
Centropyge flavicauda,Whitetail angelfish
Centropyge flavissima,Lemonpeel angelfish
Centropyge loricula,Flame angelfish
Centropyge multispinis,Dusky angelfish
Centropyge nox,Midnight angelfish
Centropyge potteri,Potter's angelfish
Centropyge tibicen,Keyhole angelfish
Centropyge vrolikii,Pearlscale angelfish
Centruroides elegans,Bark scorpion
Centruroides exilicauda,Bark scorpion
Centruroides gracilis,Slenderbrown scorpion
Centruroides infamatus,Kock scorpion
Centruroides limbatus,Bark scorpion
Centruroides limpidus,Mexican scorpion
Centruroides noxius,Mexican scorpion
Centruroides sculpturatus,Arizona bark scorpion
Centruroides suffusus,Durango bark scorpion
Centruroides vittatus,Striped bark scorpion
Centurio senex,Lattice-winged bat
Cepaea nemoralis,Banded wood snail
Cephalanthus occidentalis,Common buttonbush
Cephalopachus bancanus,Western tarsier
Cephalopholis argus,Peacock hind
Cephalopholis boenak,Chocolate hind
Cephalopholis miniata,Coral hind
Cephalopholis sonnerati,Tomato hind
Cephalopholis urodeta,Darkfin hind
Cephalophus adersi,Aders' duiker
Cephalophus callipygus,Peters's duiker
Cephalophus dorsalis,Bay duiker
Cephalophus harveyi,Harvey's red duiker
Cephalophus jentinki,Jentink's duiker
Cephalophus leucogaster,White-bellied duiker
Cephalophus natalensis,Red duiker
Cephalophus niger,Black duiker
Cephalophus nigrifrons,Black-fronted duiker
Cephalophus ogilbyi,Ogilby's duiker
Cephalophus rubidus,Ruwenzori duiker
Cephalophus rufilatus,Red-flanked duiker
Cephalophus silvicultor,Yellow-backed duiker
Cephalophus spadix,Abbott's duiker
Cephalophus weynsi,Weyns' duiker
Cephalophus zebra,Zebra duiker
Cephalorhynchus commersonii,Commerson's dolphin
Cephalorhynchus eutropia,Chilean dolphin
Cephalorhynchus heavisidii,Heaviside's dolphin
Cephalorhynchus hectori,Hector's dolphin
Cephalota circumdata,Tiger beetle
Cephalotaxus fortunei,Chinese plum yew
Cephalotaxus oliveri,Oliver's plum yew
Cephalotaxus wilsoniana,Taiwan plum yew
Cephalotus follicularis,Albany pitcher plant
Cephus cinctus,Wheat stem sawfly
Cepphus carbo,Spectacled guillemot
Cepphus columba,Pigeon guillemot
Cepphus grylle,Black guillemot
Ceracris kiangsu,Yellow-spined bamboo locust
Ceramium japonicum,Red alga
Cerastes cerastes,Horned desert viper
Cerastes vipera,Sahara sand viper
Cerastium glomeratum,Sticky chickweed
Cerastoderma edule,Common cockle
Cerastoderma glaucum,Lagoon cockle
Ceratias uranoscopus,Stargazing seadevil
Ceratiola ericoides,Sandhill rosemary
Ceratitis capitata,Mediterranean fruit fly
Ceratitis cosyra,Mango fruit fly
Ceratitis fasciventris,Fruit fly
Ceratitis rosa,Natal fruit fly
Ceratodon purpureus,Fire moss
Ceratogyrus marshalli,Straighthorned baboon tarantula
Ceratomia catalpae,Catalpa sphinx
Ceratophrys ornata,Ornate horned frog
Ceratophyllum demersum,Rigid hornwort
Ceratophyllum submersum,Tropical hornwort
Ceratopteris richardii,Triangle waterfern
Ceratoserolis trilobitoides,Antarctic isopod
Ceratotherium simum,White rhinoceros
Ceratozamia hildae,Bamboo cycad
Ceratozamia mexicana,Mexican horncone
Ceratozamia miqueliana,Miquel's horncone
Cerberus rynchops,Dog-faced water snake
Cercartetus caudatus,Long-tailed pygmy possum
Cercartetus concinnus,Western pygmy possum
Cercartetus lepidus,Little pygmy possum
Cercartetus nanus,Eastern pygmy possum
Cercidiphyllum japonicum,Katsura tree
Cercis canadensis,Eastern redbud
Cercocarpus betuloides,Mountain mahogany
Cercocarpus ledifolius,Curl-leaf mountain mahogany
Cercocebus agilis,Agile mangabey
Cercocebus atys,White-crowned mangabey
Cercocebus atys,Sooty mangabey
Cercocebus chrysogaster,Golden-bellied mangabey
Cercocebus galeritus,Tana river mangabey
Cercocebus torquatus,Red-capped mangabey
Cercopis vulnerata,Blood froghopper
Cercopithecus ascanius,Schmidt's red-tailed monkey
Cercopithecus ascanius,Black-cheeked white-nosed monkey
Cercopithecus cephus,Moustached monkey
Cercopithecus diana,Diana monkey
Cercopithecus erythrogaster,Red-bellied monkey
Cercopithecus hamlyni,Owl-faced monkey
Cercopithecus mitis,Blue monkey
Cercopithecus mona,Mona monkey
Cercopithecus neglectus,De Brazza's monkey
Cercopithecus nictitans,Greater white-nosed monkey
Cercopithecus petaurista,Lesser spot-nosed monkey
Cercopithecus wolfi,Wolf's monkey
Cercyonis oetus,Small wood nymph
Cercyonis pegala,Common wood-nymph
Cerdocyon thous,Crab-eating fox
Cerebratulus lacteus,Milky ribbon worm
Cerebratulus marginatus,Ribbon worm
Cereopsis novaehollandiae,Cape barren goose
Cerianthus membranaceus,Colored tube anemone
Ceriporiopsis subvermispora,White-rot fungus
Ceriporiopsis subvermispora,White-rot fungus
Cerithidea rhizophorarum,Water snail
Cerma cerintha,Tufted bird-dropping moth
Ceropegia linearis,Hearts entangled
Cerorhinca monocerata,Rhinoceros auklet
Cerrena sp.,Bracket fungus
Cerrena unicolor,Canker rot fungus
Cerrophidion godmani,Porthidium godmani
Certhia americana,American treecreeper
Certhia familiaris,Eurasian treecreeper
Certhidea olivacea,Green warbler-finch
Cervus elaphus,European red deer
Cervus elaphus,Red deer
Cervus elaphus,Rocky Mountain elk
Cervus elaphus,Roosevelt's wapiti
Cervus nippon,Sika deer
Cervus nippon,Dybowski's sika deer
Cervus nippon,Sika deer
Cervus nippon,Japanese sika deer
Cervus nippon,Tonkin sika deer
Cervus nippon,Formosan sika deer
Cervus nippon,Wild sika deer
Cestrum elegans,Red cestrum
Cestrum nocturnum,Night jessamine
Cestum veneris,Venus girdle
Cetonia aurata,Rose chafer beetle
Cetoscarus bicolor,Bicolor parrotfish
Cetostoma regani,Pink flabby whalefish
Ceutorhynchus contractus,Cabbage leaf weevil
Ceyx erithaca,Oriental dwarf-kingfisher
Ceyx lepidus,Moluccan dwarf-kingfisher
Chaceon quinquedens,Red deepsea crab
Chaenactis santolinoides,Santolina pincushion
Chaenocephalus aceratus,Blackfin icefish
Chaenomeles speciosa,Flowering quince
Chaenomugil proboscideus,Snouted mullet
Chaerephon ansorgei,Ansorge's free-tailed bat
Chaerephon chapini,Chapin's free-tailed bat
Chaerephon jobensis,Northern mastiff bat
Chaerephon nigeriae,Nigerian free-tailed bat
Chaerephon pumilus,Little free-tailed bat
Chaetodipus artus,Narrow-skulled pocket mouse
Chaetodipus baileyi,Bailey's pocket mouse
Chaetodipus californicus,California pocket mouse
Chaetodipus eremicus,Chihuahuan pocket mouse
Chaetodipus formosus,Long-tailed pocket mouse
Chaetodipus goldmani,Goldman's pocket mouse
Chaetodipus hispidus,Hispid pocket mouse
Chaetodipus intermedius,Rock pocket mouse
Chaetodipus nelsoni,Nelson's pocket mouse
Chaetodipus penicillatus,Desert pocket mouse
Chaetodipus pernix,Sinaloan pocket mouse
Chaetodipus rudinoris,Baja pocket mouse
Chaetodipus spinatus,Spiny pocket mouse
Chaetodon argentatus,Asian butterflyfish
Chaetodon auriga,Threadfin butterflyfish
Chaetodon austriacus,Exquisite butterflyfish
Chaetodon baronessa,Eastern triangular butterflyfish
Chaetodon capistratus,Four-eye butterflyfish
Chaetodon citrinellus,Speckled butterflyfish
Chaetodon collare,Redtail butterflyfish
Chaetodon decussatus,Indian vagabond butterflyfish
Chaetodon ephippium,Saddleback butterflyfish
Chaetodon flavirostris,Black butterflyfish
Chaetodon guttatissimus,Peppered butterflyfish
Chaetodon kleinii,Sunburst butterflyfish
Chaetodon larvatus,Hooded butterflyfish
Chaetodon lineolatus,Lined butterflyfish
Chaetodon lunula,Raccoon butterflyfish
Chaetodon melannotus,Black back butterflyfish
Chaetodon mertensii,Atoll butterflyfish
Chaetodon mesoleucos,White-face butterflyfish
Chaetodon meyeri,Meyer's butterflyfish
Chaetodon miliaris,Lemon butterflyfish
Chaetodon multicinctus,Multi-banded butterflyfish
Chaetodon ocellicaudus,Spot-tail butterflyfish
Chaetodon octofasciatus,Eight-banded butterflyfish
Chaetodon ornatissimus,Ornate butterflyfish
Chaetodon oxycephalus,Spot-nape butterflyfish
Chaetodon paucifasciatus,Crown butterflyfish
Chaetodon pelewensis,Sunset butterflyfish
Chaetodon plebeius,Blueblotch butterflyfish
Chaetodon punctatofasciatus,Spotband butterflyfish
Chaetodon quadrimaculatus,Fourspot butterflyfish
Chaetodon rafflesii,Latticed butterflyfish
Chaetodon rainfordi,Rainford's butterflyfish
Chaetodon speculum,Oval-spot butterflyfish
Chaetodon striatus,Banded butterflyfish
Chaetodon tinkeri,Tinker's butterflyfish
Chaetodon trifascialis,Chevron butterflyfish
Chaetodon trifasciatus,Melon butterflyfish
Chaetodon ulietensis,Pacific double-saddle butterflyfish
Chaetodon vagabundus,Vagabond butterflyfish
Chaetodon xanthurus,Pearlscale butterfly
Chaetodontoplus caeruleopunctatus,Bluespotted angelfish
Chaetodontoplus duboulayi,Scribbled angelfish
Chaetodontoplus melanosoma,Black-velvet angelfish
Chaetodontoplus meredithi,Queensland yellowtail angelfish
Chaetomium globosum,Soil fungus
Chaetomium globosum,Soil fungus
Chaetophractus villosus,South American armadillo
Chaetopleura apiculata,Common eastern chiton
Chaetopterus variopedatus,Parchment tube worm
Chaetosphaeridium globosum,Charophycean green alga
Chaetura pelagica,Chimney swift
Chaetura vauxi,Vaux's swift
Chalceus macrolepidotus,Pinktailed characin
Chalcides ocellatus,Ocellated skink
Chalcides sexlineatus,Gran Canaria skink
Chalcides viridanus,West Canary skink
Chalcophaps stephani,Stephan's dove
Chalcostigma herrani,Rainbow-bearded thornbill
Chalcostigma ruficeps,Rufous-capped thornbill
Chalinolobus morio,Chocolate-wattled bat
Chamaecrista fasciculata,Showy partridge pea
Chamaecyparis lawsoniana,Lawson false cypress
Chamaecyparis obtusa,Hinoki false-cypress
Chamaedorea costaricana,Costarican bamboo palm
Chamaedorea plumosa,Palm tree
Chamaedorea seifrizii,Bamboo palm
Chamaedrilus cognettii,Terrestrial worm
Chamaeleo africanus,African chameleon
Chamaeleo arabicus,Arabian chameleon
Chamaeleo calcaricarens,Awash chameleon
Chamaeleo calyptratus,Veiled chameleon
Chamaeleo chamaeleon,Mediterranean chameleon
Chamaeleo dilepis,Flapneck chameleon
Chamaeleo dilepis,Bocage's chameleon
Chamaeleo gracilis,Graceful chameleon
Chamaeleo monachus,Socotran chameleon
Chamaeleo namaquensis,Namaqua chameleon
Chamaeleo senegalensis,Senegal chameleon
Chamaeleo zeylanicus,Indian chameleon
Chamaemelum nobile,Roman chamomile
Chamaepsila rosae,Carrot rust fly
Chamaerops humilis,Mediterranean fan palm
Chamaetylas choloensis,Thyolo alethe
Champsocephalus gunnari,Mackerel icefish
Channa asiatica,Small snakehead
Channa lucius,Forest snakehead
Channa maculata,Blotched snakehead
Channa micropeltes,Giant snakehead
Channa punctata,Spotted snakehead
Channa striata,Snakehead murrel
Channichthys rhinoceratus,Unicorn icefish
Chaoborus crystallinus,Phantom midge
Chara braunii,Braun's stonewort
Chara connivens,Convergent stonewort
Chara fibrosa,Green alga
Chara globularis,Fragile stonewort
Chara vulgaris,Common stonewort
Charadrius alexandrinus,Snowy plover
Charadrius bicinctus,Double-banded plover
Charadrius collaris,Collared plover
Charadrius dubius,Little ringed plover
Charadrius falklandicus,Two-banded plover
Charadrius hiaticula,Common ringed plover
Charadrius melodus,Piping plover
Charadrius modestus,Rufous-chested dotterel
Charadrius mongolus,Lesser sand plover
Charadrius montanus,Mountain plover
Charadrius morinellus,Eurasian dotterel
Charadrius ruficapillus,Red-capped plover
Charadrius semipalmatus,Semipalmated plover
Charadrius veredus,Oriental plover
Charadrius wilsonia,Wilson's plover
Charina bottae,Northern rubber boa
Charybdis acuta,Swimming crab
Charybdis feriata,Crucifix crab
Charybdis hellerii,Indo-Pacific swimming crab
Charybdis japonica,Asian swimming crab
Chatogekko amazonicus,Brazilian pygmy gecko
Chauliodes pectinicornis,Summer fishfly
Chauliodus sloani,Sloane's viperfish
Chauna chavaria,Northern screamer
Chauna torquata,Southern screamer
Chaunax penicillatus,Pencil coffinfish
Chaunax pictus,Pink frogmouth
Cheilinus undulatus,Humphead wrasse
Cheilochromis euchilus,Malawi thick lip
Cheilocostus speciosus,Crepe ginger
Cheilopogon melanurus,Atlantic flyingfish
Cheilopogon pinnatibarbatus,Bennett's flyingfish
Cheiracanthium punctorium,Yellow sac spider
Cheirogaleus crossleyi,Furry-eared dwarf lemur
Cheirogaleus major,Greater dwarf lemur
Cheirogaleus medius,Fat-tailed dwarf lemur
Cheirogaleus sibreei,Sibree's dwarf lemur
Cheiromeles parvidens,Lesser naked bat
Chelidonichthys kumu,Bluefin gurnard
Chelidonium majus,Greater celandine
Chelmon rostratus,Copperband butterflyfish
Chelodina longicollis,Snake-necked turtle
Chelon auratus,Golden grey mullet
Chelon labrosus,Thicklip grey mullet
Chelon ramada,Thin-lipped grey mullet
Chelonia mydas,Green sea-turtle
Chelonibia testudinaria,Turtle barnacle
Chelonodontops patoca,Milkspotted pufferfish
Chelonoidis carbonarius,Red-footed tortoise
Chelonoidis denticulatus,Yellow footed tortoise
Chelonoidis niger,Galapagos giant tortoise
Chelonus sp.,Parasitic wasp
Chelosania brunnea,Chameleon dragon
Chelus fimbriata,Matamata turtle
Chelydra serpentina,Snapping turtle
Chelyosoma productum,Solitary ascidian
Chenonetta jubata,Australian wood duck
Chenopodiastrum murale,Nettle-leaved goosefoot
Chenopodium baccatum,Coastal saltbush
Chenopodium quinoa,Quinoa
Cheracebus torquatus,Collared titi monkey
Cherax destructor,Common yabby crayfish
Cherax quinquecarinatus,Freshwater crayfish
Cherax tenuimanus,Australian crayfish
Chetone angulosa,Leopard moth
Chiba virus,Hu/NLV/Chiba 407/1987/JP
Chicoreus asianus,Asian murex
Chicoreus subpalmatus,Sea snail
Chikila fulleri,Kuttal caecilian
Chilabothrus angulifer,Cuban boa
Chilabothrus exsul,Abaco Island boa
Chilabothrus fordii,Ford's boa
Chilabothrus monensis,Mona Island boa
Chilabothrus striatus,Haitian boa constrictor
Chilabothrus subflavus,Jamaican yellow boa
Chilades pandava,Plains cupid butterfly
Chilo auricilius,Gold-fringed rice borer
Chilo sacchariphagus,Spotted borer
Chilomycterus antillarum,Web burrfish
Chilomycterus reticulatus,Spotfin burrfish
Chilomys instans,Colombian forest mouse
Chilonatalus micropus,Cuban funnel-eared bat
Chilopsis linearis,Desert willow
Chilorhinus suensonii,Seagrass eel
Chiloscyllium indicum,Slender bamboo shark
Chiloscyllium punctatum,Brownbanded bambooshark
Chimaera monstrosa,Rabbit fish
Chimaphila maculata,Striped Prince's pine
Chimarrogale himalayica,Himalayan water shrew
Chimarrogale platycephalus,Japanese water shrew
Chinchilla chinchilla,Short-tailed chinchilla
Chinchilla lanigera,Long-tailed chinchilla
Chiococca alba,West Indian milkberry
Chionis albus,Snowy sheathbill
Chionis minor,Black-faced sheathbill
Chionodraco hamatus,Antarctic teleost icefish
Chionodraco myersi,Myers' icefish
Chionodraco rastrospinosus,Ocellated icefish
Chionoecetes japonicus,Red snow crab
Chionoecetes tanneri,Grooved Tanner crab
Chionomys nivalis,European snow vole
Chionomys roberti,Robert's snow vole
Chiroderma doriae,Brazilian big-eyed bat
Chiroderma improvisum,Guadeloupe big-eyed bat
Chiroderma salvini,Salvin's big-eyed bat
Chiroderma trinitatum,Little big-eyed bat
Chiroderma villosum,Hairy big-eyed bat
Chiromyscus chiropus,Indochinese chiromyscus
Chironax melanocephalus,Black-capped fruit bat
Chironectes minimus,Water opossum
Chironex fleckeri,Australian box jellyfish
Chironius carinatus,Machete savane snake
Chironomus plumosus,Buzzer midge
Chiropotes satanas,Brown-bearded saki
Chiropsalmus quadrigatus,Box jellyfish
Chiruromys vates,Lesser tree mouse
Chitala blanci,Indochina featherback
Chitala chitala,Clown knifefish
Chitala lopis,Giant featherback
Chitala ornata,Clown featherback
Chitinophaga filiformis,Myxococcus filiformis
Chlaenius pusillus,Ground beetle
Chlamydera nuchalis,Great bowerbird
Chlamydia phage,Bacteriophage Chp1
Chlamydosaurus kingii,Frill-necked lizard
Chlamydoselachus anguineus,Frilled shark
Chlamys islandica,Iceland scallop
Chlamys nipponensis,Akazara scallop
Chlidanthus fragrans,Perfumed fairy lily
Chlidonias albostriatus,Black-fronted tern
Chlidonias leucopterus,White-winged tern
Chlidonias niger,Black tern
Chloebia gouldiae,Gouldian finch
Chloephaga melanoptera,Andean goose
Chloephaga picta,Upland goose
Chloranthus multistachys,Multi-stacked chloranthus
Chlorella sorokiniana,Freshwater green alga
Chlorella variabilis,Green alga
Chlorella vulgaris,Green alga
Chloris chloris,European greenfinch
Chlorocebus aethiops,Green monkey
Chlorocebus pygerythrus,Vervet monkey
Chlorocebus sabaeus,Green monkey
Chlorocebus tantalus,Tantalus monkey
Chloroceryle americana,Green kingfisher
Chlorocladus australasicus,Green alga
Chlorococcum echinozygotum,Green alga
Chlorodesmis fastigiata,Turtle weed
Chlorogalum pomeridianum,Wavy-leafed soap plant
Chlorokybus atmophyticus,Soil alga
Chlorolobion braunii,Green alga
Chlorophanes spiza,Green honeycreeper
Chlorophthalmus agassizi,Shortnose greeneye
Chlorophyllum molybdites,Green-spored parasol mushroom
Chlorophytum comosum,Spider plant
Chloropsis cochinchinensis,Javan leafbird
Chlorornis riefferii,Grass-green tanager
Chlorospingus ophthalmicus,Common bush-tanager
Chlorospingus pileatus,Sooty-capped bush tanager
Chlorostilbon lucidus,Glittering-bellied emerald
Chlorostilbon maugaeus,Puerto Rican emerald
Chlorostilbon mellisugus,Blue-tailed emerald
Chlorostoma argyrostoma,Sea snail
Chloroxylon faho,Ceylon satinwood
Chlorurus sordidus,Daisy parrotfish
Chlosyne acastus,Sagebrush checkerspot
Chlosyne californica,California patch
Chlosyne gorgone,Gorgone checkerspot
